id_parada,id_data,id_maquina,id_turno,inicio_parada,fim_parada,duracao_min,tipo_parada,categoria,descricao
1,1,1,1,2024-01-01 06:00:00,2024-01-01 06:36:00,36,Planejada,Limpeza,Limpeza de rotina
2,1,1,1,2024-01-01 08:00:00,2024-01-01 08:56:00,56,Não Planejada,Mecânica,Parada não planejada por mecânica
3,1,1,2,2024-01-01 14:00:00,2024-01-01 14:36:00,36,Planejada,Setup,Setup de rotina
4,1,1,2,2024-01-01 16:00:00,2024-01-01 16:23:00,23,Não Planejada,Mecânica,Parada não planejada por mecânica
5,1,1,3,2024-01-01 22:00:00,2024-01-01 22:37:00,37,Planejada,Setup,Setup de rotina
6,1,1,3,2024-01-02 00:00:00,2024-01-02 00:28:00,28,Não Planejada,Elétrica,Parada não planejada por elétrica
7,1,2,1,2024-01-01 06:00:00,2024-01-01 06:59:00,59,Planejada,Setup,Setup de rotina
8,1,2,1,2024-01-01 08:00:00,2024-01-01 08:42:00,42,Não Planejada,Mecânica,Parada não planejada por mecânica
9,1,2,2,2024-01-01 14:00:00,2024-01-01 14:55:00,55,Planejada,Setup,Setup de rotina
10,1,2,2,2024-01-01 16:00:00,2024-01-01 16:26:00,26,Não Planejada,Mecânica,Parada não planejada por mecânica
11,1,2,3,2024-01-01 22:00:00,2024-01-01 23:00:00,60,Planejada,Setup,Setup de rotina
12,1,2,3,2024-01-02 00:00:00,2024-01-02 00:46:00,46,Não Planejada,Elétrica,Parada não planejada por elétrica
13,1,3,1,2024-01-01 06:00:00,2024-01-01 06:59:00,59,Planejada,Setup,Setup de rotina
14,1,3,1,2024-01-01 08:00:00,2024-01-01 09:16:00,76,Não Planejada,Mecânica,Parada não planejada por mecânica
15,1,3,2,2024-01-01 14:00:00,2024-01-01 14:54:00,54,Planejada,Limpeza,Limpeza de rotina
16,1,3,2,2024-01-01 16:00:00,2024-01-01 16:32:00,32,Não Planejada,Elétrica,Parada não planejada por elétrica
17,1,3,3,2024-01-01 22:00:00,2024-01-01 22:47:00,47,Planejada,Limpeza,Limpeza de rotina
18,1,3,3,2024-01-02 00:00:00,2024-01-02 00:33:00,33,Não Planejada,Mecânica,Parada não planejada por mecânica
19,1,4,1,2024-01-01 06:00:00,2024-01-01 06:55:00,55,Planejada,Setup,Setup de rotina
20,1,4,1,2024-01-01 08:00:00,2024-01-01 09:22:00,82,Não Planejada,Elétrica,Parada não planejada por elétrica
21,1,4,2,2024-01-01 14:00:00,2024-01-01 14:41:00,41,Planejada,Limpeza,Limpeza de rotina
22,1,4,2,2024-01-01 16:00:00,2024-01-01 16:37:00,37,Não Planejada,Elétrica,Parada não planejada por elétrica
23,1,4,3,2024-01-01 22:00:00,2024-01-01 22:37:00,37,Planejada,Setup,Setup de rotina
24,1,4,3,2024-01-02 00:00:00,2024-01-02 00:33:00,33,Não Planejada,Elétrica,Parada não planejada por elétrica
25,1,5,1,2024-01-01 06:00:00,2024-01-01 06:51:00,51,Planejada,Limpeza,Limpeza de rotina
26,1,5,1,2024-01-01 08:00:00,2024-01-01 08:33:00,33,Não Planejada,Elétrica,Parada não planejada por elétrica
27,1,5,2,2024-01-01 14:00:00,2024-01-01 14:59:00,59,Planejada,Limpeza,Limpeza de rotina
