id_producao,id_data,id_maquina,id_turno,tempo_disponivel_min,tempo_paradas_planejadas_min,tempo_paradas_naoplan_min,tempo_operacao_min,qtd_planejada,qtd_produzida,qtd_refugo,qtd_retrabalho,tempo_ciclo_ideal_seg
1,1,1,1,480,36,56,388,2550,2470,121,45,4.5
2,1,1,2,480,36,23,421,2550,1971,82,24,4.5
3,1,1,3,480,37,28,415,2550,2294,72,29,4.5
4,1,2,1,480,59,42,379,2550,1912,106,40,4.8
5,1,2,2,480,55,26,399,2550,1916,58,20,4.8
6,1,2,3,480,60,46,374,2550,1939,107,28,4.8
7,1,3,1,480,59,76,345,2550,2275,90,44,5.0
8,1,3,2,480,54,32,394,2550,2416,115,38,5.0
9,1,3,3,480,47,33,400,2550,2465,110,34,5.0
10,1,4,1,480,55,82,343,1700,1365,49,19,6.0
11,1,4,2,480,41,37,402,1700,1288,69,19,6.0
12,1,4,3,480,37,33,410,1700,1396,60,21,6.0
13,1,5,1,480,51,33,396,1700,1654,82,39,6.2
14,1,5,2,480,59,40,381,1700,1508,81,18,6.2
15,1,5,3,480,52,44,384,1700,1605,79,28,6.2
16,1,6,1,480,53,30,397,3400,3304,151,42,3.5
17,1,6,2,480,58,19,403,3400,2679,81,26,3.5
18,1,6,3,480,30,48,402,3400,2779,84,21,3.5
19,1,7,1,480,37,39,404,3400,3167,144,68,3.8
20,1,7,2,480,55,45,380,3400,3265,170,56,3.8
21,1,7,3,480,30,52,398,3400,2839,134,53,3.8
22,1,8,1,480,41,44,395,1700,1382,61,19,7.0
23,1,8,2,480,44,18,418,1700,1606,78,21,7.0
24,1,8,3,480,43,43,394,1700,1290,62,14,7.0
25,1,9,1,480,57,17,406,1700,1353,72,24,7.5
26,1,9,2,480,58,36,386,1700,1546,51,19,7.5
27,1,9,3,480,44,47,389,1700,1354,73,27,7.5
28,1,10,1,480,48,115,317,3400,3238,113,32,2.5
29,1,10,2,480,50,35,395,3400,2907,73,23,2.5
30,1,10,3,480,59,104,317,3400,2803,64,19,2.5
31,1,11,1,480,59,37,384,3400,2762,98,19,2.7
32,1,11,2,480,42,45,393,3400,2788,66,23,2.7
33,1,11,3,480,59,41,380,3400,3091,81,22,2.7
34,1,12,1,480,56,58,366,1700,1360,60,19,8.0
35,1,12,2,480,59,53,368,1700,1374,50,20,8.0
36,1,12,3,480,32,53,395,1700,1332,74,20,8.0
37,2,1,1,480,31,6,443,2550,2153,66,20,4.5
38,2,1,2,480,30,23,427,2550,2311,101,33,4.5
39,2,1,3,480,35,36,409,2550,2260,72,22,4.5
40,2,2,1,480,46,42,392,2550,2128,98,38,4.8
41,2,2,2,480,40,52,388,2550,2380,80,28,4.8
42,2,2,3,480,45,33,402,2550,2415,92,24,4.8
43,2,3,1,480,55,96,329,2550,2387,93,21,5.0
44,2,3,2,480,38,62,380,2550,2145,93,41,5.0
45,2,3,3,480,40,86,354,2550,1979,106,49,5.0
46,2,4,1,480,32,36,412,1700,1533,78,28,6.0
47,2,4,2,480,57,31,392,1700,1664,91,33,6.0
48,2,4,3,480,56,38,386,1700,1384,66,29,6.0
49,2,5,1,480,49,28,403,1700,1433,76,34,6.2
50,2,5,2,480,46,12,422,1700,1582,74,27,6.2
51,2,5,3,480,45,29,406,1700,1534,46,11,6.2
52,2,6,1,480,47,6,427,3400,3091,145,38,3.5
53,2,6,2,480,30,8,442,3400,2735,105,44,3.5
54,2,6,3,480,37,11,432,3400,3113,118,42,3.5
55,2,7,1,480,56,55,369,3400,3047,111,41,3.8
56,2,7,2,480,35,49,396,3400,2930,156,51,3.8
57,2,7,3,480,50,34,396,3400,3054,144,66,3.8
58,2,8,1,480,57,52,371,1700,1384,42,16,7.0
59,2,8,2,480,46,48,386,1700,1642,89,42,7.0
60,2,8,3,480,32,45,403,1700,1647,63,23,7.0
61,2,9,1,480,60,39,381,1700,1658,52,15,7.5
62,2,9,2,480,52,37,391,1700,1398,48,17,7.5
63,2,9,3,480,60,58,362,1700,1547,69,15,7.5
64,2,10,1,480,44,115,321,3400,2830,73,21,2.5
65,2,10,2,480,55,46,379,3400,3213,74,30,2.5
66,2,10,3,480,36,71,373,3400,3182,125,57,2.5
67,2,11,1,480,42,11,427,3400,2942,115,45,2.7
68,2,11,2,480,43,20,417,3400,2589,106,22,2.7
69,2,11,3,480,31,6,443,3400,2892,104,31,2.7
70,2,12,1,480,55,26,399,1700,1506,46,9,8.0
71,2,12,2,480,35,19,426,1700,1415,47,16,8.0
72,2,12,3,480,50,48,382,1700,1652,69,31,8.0
73,3,1,1,480,49,34,397,2550,2229,103,43,4.5
74,3,1,2,480,42,54,384,2550,2215,85,37,4.5
75,3,1,3,480,60,23,397,2550,2169,69,14,4.5
76,3,2,1,480,50,27,403,2550,2163,103,22,4.8
77,3,2,2,480,55,5,420,2550,2171,78,17,4.8
78,3,2,3,480,54,44,382,2550,2460,114,40,4.8
79,3,3,1,480,60,98,322,2550,2271,92,25,5.0
80,3,3,2,480,45,80,355,2550,2356,71,16,5.0
81,3,3,3,480,34,76,370,2550,1936,101,41,5.0
82,3,4,1,480,41,45,394,1700,1313,56,19,6.0
83,3,4,2,480,30,52,398,1700,1293,70,32,6.0
84,3,4,3,480,49,39,392,1700,1519,65,29,6.0
85,3,5,1,480,34,49,397,1700,1338,42,16,6.2
86,3,5,2,480,46,32,402,1700,1504,81,30,6.2
87,3,5,3,480,47,39,394,1700,1526,63,22,6.2
88,3,6,1,480,34,16,430,3400,2851,156,73,3.5
89,3,6,2,480,41,33,406,3400,2604,84,17,3.5
90,3,6,3,480,48,54,378,3400,3084,98,28,3.5
91,3,7,1,480,55,14,411,3400,2568,131,37,3.8
92,3,7,2,480,33,57,390,3400,2822,153,32,3.8
93,3,7,3,480,54,25,401,3400,3306,146,47,3.8
94,3,8,1,480,53,39,388,1700,1662,67,20,7.0
95,3,8,2,480,36,36,408,1700,1408,76,34,7.0
96,3,8,3,480,46,59,375,1700,1568,77,17,7.0
97,3,9,1,480,46,53,381,1700,1472,75,22,7.5
98,3,9,2,480,56,23,401,1700,1427,43,20,7.5
99,3,9,3,480,41,13,426,1700,1399,76,36,7.5
100,3,10,1,480,48,45,387,3400,2900,78,23,2.5
101,3,10,2,480,56,114,310,3400,3138,122,53,2.5
102,3,10,3,480,42,82,356,3400,2936,62,22,2.5
103,3,11,1,480,34,39,407,3400,3244,92,21,2.7
104,3,11,2,480,41,13,426,3400,3145,109,25,2.7
105,3,11,3,480,36,50,394,3400,3098,67,29,2.7
106,3,12,1,480,55,6,419,1700,1306,42,20,8.0
107,3,12,2,480,45,49,386,1700,1419,72,34,8.0
108,3,12,3,480,54,49,377,1700,1569,62,13,8.0
109,4,1,1,480,58,48,374,2550,2240,91,42,4.5
110,4,1,2,480,36,7,437,2550,2061,83,30,4.5
111,4,1,3,480,49,32,399,2550,2362,121,51,4.5
112,4,2,1,480,32,17,431,2550,2051,82,28,4.8
113,4,2,2,480,54,60,366,2550,2222,91,40,4.8
114,4,2,3,480,42,36,402,2550,2238,85,18,4.8
115,4,3,1,480,50,104,326,2550,2451,89,36,5.0
116,4,3,2,480,54,47,379,2550,2009,71,20,5.0
117,4,3,3,480,30,83,367,2550,2255,120,25,5.0
118,4,4,1,480,41,103,336,1700,1646,87,29,6.0
119,4,4,2,480,57,37,386,1700,1341,62,19,6.0
120,4,4,3,480,57,79,344,1700,1378,54,15,6.0
121,4,5,1,480,56,58,366,1700,1287,47,15,6.2
122,4,5,2,480,42,32,406,1700,1380,46,10,6.2
123,4,5,3,480,35,22,423,1700,1437,64,30,6.2
124,4,6,1,480,39,60,381,3400,3235,143,35,3.5
125,4,6,2,480,53,37,390,3400,3158,134,66,3.5
126,4,6,3,480,40,25,415,3400,3136,126,56,3.5
127,4,7,1,480,46,17,417,3400,2599,80,19,3.8
128,4,7,2,480,50,52,378,3400,2608,125,45,3.8
129,4,7,3,480,34,42,404,3400,3264,147,61,3.8
130,4,8,1,480,39,14,427,1700,1422,51,13,7.0
131,4,8,2,480,30,55,395,1700,1382,48,22,7.0
132,4,8,3,480,37,36,407,1700,1293,47,9,7.0
133,4,9,1,480,55,38,387,1700,1461,75,21,7.5
134,4,9,2,480,30,58,392,1700,1653,53,23,7.5
135,4,9,3,480,46,52,382,1700,1462,59,25,7.5
136,4,10,1,480,43,95,342,3400,3179,132,50,2.5
137,4,10,2,480,31,67,382,3400,3025,106,38,2.5
138,4,10,3,480,48,92,340,3400,3118,103,34,2.5
139,4,11,1,480,44,34,402,3400,3036,123,59,2.7
140,4,11,2,480,33,14,433,3400,3274,104,28,2.7
141,4,11,3,480,53,9,418,3400,3316,105,31,2.7
142,4,12,1,480,40,47,393,1700,1368,43,10,8.0
143,4,12,2,480,52,20,408,1700,1334,44,17,8.0
144,4,12,3,480,37,8,435,1700,1410,75,25,8.0
145,5,1,1,480,58,36,386,2550,2013,70,14,4.5
146,5,1,2,480,34,22,424,2550,2075,71,16,4.5
147,5,1,3,480,30,9,441,2550,2182,77,23,4.5
148,5,2,1,480,43,30,407,2550,2317,71,31,4.8
149,5,2,2,480,54,26,400,2550,1960,103,49,4.8
150,5,2,3,480,58,21,401,2550,2074,105,44,4.8
151,5,3,1,480,58,81,341,2550,2035,80,27,5.0
152,5,3,2,480,55,57,368,2550,2128,89,37,5.0
153,5,3,3,480,43,88,349,2550,2060,100,46,5.0
154,5,4,1,480,43,47,390,1700,1449,63,17,6.0
155,5,4,2,480,54,57,369,1700,1282,49,12,6.0
156,5,4,3,480,55,73,352,1700,1366,53,18,6.0
157,5,5,1,480,39,7,434,1700,1528,64,24,6.2
158,5,5,2,480,51,38,391,1700,1493,67,24,6.2
159,5,5,3,480,39,45,396,1700,1406,75,28,6.2
160,5,6,1,480,56,60,364,3400,2939,113,54,3.5
161,5,6,2,480,50,26,404,3400,2726,107,37,3.5
162,5,6,3,480,59,15,406,3400,2618,133,28,3.5
163,5,7,1,480,38,59,383,3400,2590,78,31,3.8
164,5,7,2,480,53,35,392,3400,3251,146,69,3.8
165,5,7,3,480,44,10,426,3400,3312,141,58,3.8
166,5,8,1,480,59,6,415,1700,1492,66,18,7.0
167,5,8,2,480,41,9,430,1700,1348,51,16,7.0
168,5,8,3,480,30,24,426,1700,1369,45,17,7.0
169,5,9,1,480,35,41,404,1700,1472,79,23,7.5
170,5,9,2,480,32,37,411,1700,1419,59,21,7.5
171,5,9,3,480,39,48,393,1700,1353,64,14,7.5
172,5,10,1,480,60,102,318,3400,3144,107,36,2.5
173,5,10,2,480,52,64,364,3400,2822,119,53,2.5
174,5,10,3,480,41,79,360,3400,2647,99,47,2.5
175,5,11,1,480,41,39,400,3400,2602,98,36,2.7
176,5,11,2,480,58,12,410,3400,3197,121,53,2.7
177,5,11,3,480,32,25,423,3400,2695,69,26,2.7
178,5,12,1,480,59,8,413,1700,1398,63,25,8.0
179,5,12,2,480,37,43,400,1700,1554,82,31,8.0
180,5,12,3,480,30,27,423,1700,1446,65,19,8.0
181,6,1,1,480,44,59,377,2550,2224,70,18,4.5
182,6,1,2,480,36,55,389,2550,2165,83,34,4.5
183,6,2,1,480,39,56,385,2550,2378,109,39,4.8
184,6,2,2,480,36,31,413,2550,2375,80,23,4.8
185,6,3,1,480,34,56,390,2550,2348,72,26,5.0
186,6,3,2,480,39,34,407,2550,2426,94,41,5.0
187,6,4,1,480,60,76,344,1700,1605,53,16,6.0
188,6,4,2,480,58,37,385,1700,1333,47,19,6.0
189,6,5,1,480,31,31,418,1700,1525,73,26,6.2
190,6,5,2,480,40,31,409,1700,1410,48,22,6.2
191,6,6,1,480,35,10,435,3400,2863,120,58,3.5
192,6,6,2,480,41,30,409,3400,3008,129,49,3.5
193,6,7,1,480,44,44,392,3400,3232,175,64,3.8
194,6,7,2,480,33,9,438,3400,3271,158,38,3.8
195,6,8,1,480,57,35,388,1700,1512,62,26,7.0
196,6,8,2,480,37,45,398,1700,1636,68,15,7.0
197,6,9,1,480,50,30,400,1700,1603,53,25,7.5
198,6,9,2,480,60,58,362,1700,1477,67,21,7.5
199,6,10,1,480,38,82,360,3400,2812,110,22,2.5
200,6,10,2,480,38,64,378,3400,2861,94,44,2.5
201,6,11,1,480,31,11,438,3400,2821,106,35,2.7
202,6,11,2,480,40,48,392,3400,3263,84,31,2.7
203,6,12,1,480,49,10,421,1700,1288,49,21,8.0
204,6,12,2,480,40,26,414,1700,1361,48,17,8.0
205,7,1,1,480,46,24,410,2550,2181,97,44,4.5
206,7,1,2,480,60,44,376,2550,2207,100,22,4.5
207,7,2,1,480,52,55,373,2550,2035,108,28,4.8
208,7,2,2,480,58,53,369,2550,1933,81,29,4.8
209,7,3,1,480,47,30,403,2550,2367,98,35,5.0
210,7,3,2,480,57,67,356,2550,2361,77,23,5.0
211,7,4,1,480,52,32,396,1700,1420,52,20,6.0
212,7,4,2,480,57,116,307,1700,1657,85,39,6.0
213,7,5,1,480,37,5,438,1700,1490,54,13,6.2
214,7,5,2,480,60,12,408,1700,1315,66,16,6.2
215,7,6,1,480,30,32,418,3400,2736,89,24,3.5
216,7,6,2,480,43,36,401,3400,3219,166,52,3.5
217,7,7,1,480,34,58,388,3400,2710,101,47,3.8
218,7,7,2,480,36,14,430,3400,2616,92,19,3.8
219,7,8,1,480,58,23,399,1700,1502,61,28,7.0
220,7,8,2,480,44,9,427,1700,1408,51,16,7.0
221,7,9,1,480,52,59,369,1700,1379,63,20,7.5
222,7,9,2,480,59,13,408,1700,1445,54,26,7.5
223,7,10,1,480,51,53,376,3400,2639,88,43,2.5
224,7,10,2,480,52,110,318,3400,2929,94,39,2.5
